username, mac_address, start_time, usage_time, upload, download
sugaryCamel0,06:5D:24:4D:1B:C0,2022-11-02 00:25:03,1:18:34,9603612.97,8931839.19
worldlyTeal6,6F:66:50:75:37:71,2022-11-13 14:00:36,0:20:09,3061809.36,2404671.63
truthfulChough1,6E:0E:1F:31:31:54,2022-11-27 02:29:15,14:02:54,7173529.49,2445485.33
peacefulPudding8,70:1D:2D:7C:08:85,2022-12-19 15:44:26,6:28:37,1782318.41,1158602.76
offendedSalami9,40:02:47:00:3A:2D,2022-11-11 21:17:55,17:55:45,1805617.19,8047399.77
crushedOryx0,6A:0E:1D:3A:9D:76,2022-12-08 13:06:01,14:42:31,7860413.76,9072226.06
euphoricWildfowl2,60:21:38:0F:48:1D,2022-11-14 14:28:40,8:06:55,5221668.07,6675313.82
dearOil7,77:0F:47:32:41:C9,2022-11-16 20:08:10,23:42:34,2720968.0,9321626.05
finickyDove5,15:78:4B:3E:AE:BD,2022-12-18 07:11:02,21:27:10,5941982.41,7691724.29
alertLion9,42:53:5A:19:17:DD,2022-12-05 16:19:49,11:22:04,2940399.54,9344039.93
euphoricMoth9,13:07:38:2F:E8:B9,2022-11-27 08:09:12,15:47:02,4550755.25,4082961.83
culturedOrange1,06:7C:19:41:EB:29,2022-12-02 10:34:27,18:59:42,538127.14,4967360.36
panickyDinosaur6,12:41:1F:15:5B:AF,2022-12-10 23:41:11,17:22:42,1779509.88,2840870.15
aloofDinosaur1,55:63:72:61:40:BD,2022-11-01 20:34:36,6:36:46,4096499.49,5031766.52
mildCoati2,06:3C:21:55:B3:78,2022-12-10 14:08:46,16:01:11,2279110.89,5176223.8
euphoricWildfowl2,60:21:38:0F:48:1D,2022-11-16 09:22:07,21:00:16,6847887.34,606699.07
worriedSwift9,10:57:3B:1D:B7:14,2022-12-10 18:10:44,1:10:54,6307788.51,8103774.42
wingedMallard8,1A:0B:14:72:73:1F,2022-11-30 04:35:20,22:18:44,5266047.39,2271420.89
trustingWidgeon4,57:2B:75:63:90:2D,2022-11-08 15:46:43,8:30:36,7999152.37,5329479.51
worldlyAntelope3,50:10:53:11:89:E3,2022-12-04 15:24:05,18:52:56,7822727.54,1389863.54
trustingGnu5,38:67:1D:0E:C9:6A,2022-11-03 21:24:33,1:15:50,3555526.99,1819402.26
cruelBoa6,0E:3F:25:7D:4D:14,2022-11-09 07:46:42,9:47:20,1333557.67,6531755.42
pitifulShads0,29:17:64:35:3A:C1,2022-12-24 09:55:21,0:30:26,5536415.1,9459681.71
fondGelding6,2F:7D:48:58:62:25,2022-11-25 11:28:16,21:39:45,3761246.47,4051509.87
stressedPretzels8,7A:1A:39:40:20:9E,2022-11-06 09:06:42,6:59:04,8637752.2,7065645.25
gloomySeagull0,66:0C:24:62:9B:52,2022-12-04 19:58:14,10:45:11,9365608.77,5335497.65
tautCrackers7,78:61:11:40:B1:93,2022-11-02 23:52:42,10:14:00,8325549.62,3037541.7
unhappyBustard0,17:40:37:57:6F:75,2022-11-06 20:00:33,21:53:30,9204651.23,4841213.82
euphoricPlover1,78:32:4E:4A:80:E8,2022-11-07 14:16:28,4:58:57,3241627.49,3387331.04
pacifiedGelding6,5E:0F:7D:1F:E2:52,2022-12-03 09:37:36,9:29:44,3367186.75,8646899.65
blissfulChough7,2C:18:14:59:F6:B3,2022-11-28 14:11:10,15:32:59,4891520.73,3911479.64
fondQuiche7,6C:3F:1D:14:78:31,2022-11-08 03:08:22,1:10:28,6491195.97,2250104.18
annoyedSmelt3,49:3F:61:21:27:BD,2022-11-19 05:05:23,11:31:45,1097793.61,642016.83
boredSalami7,4B:13:43:34:AA:CB,2022-11-25 01:05:18,10:42:44,2013301.93,2310825.95
pitifulJerky5,52:03:4D:13:5E:8C,2022-11-30 07:00:17,15:33:17,8028132.75,9438245.72
enragedFerret3,2E:37:04:3C:20:32,2022-11-21 19:23:05,4:36:39,6108872.91,4221594.05
sadVenison1,6F:4B:59:79:52:A1,2022-12-05 12:05:37,14:40:24,5203437.07,8118026.49
jealousOatmeal9,03:48:22:26:1B:98,2022-12-02 22:48:44,0:14:32,965193.04,861227.48
jubilantPaella6,60:28:28:49:93:D4,2022-11-13 14:56:18,10:21:41,3240154.33,7364895.63
crushedOryx0,60:05:52:46:21:66,2022-11-07 20:59:28,4:53:44,9676586.34,2116755.19
troubledKitten7,33:0E:65:43:31:A6,2022-11-11 09:16:50,11:47:08,2411432.72,7844064.49
guiltyViper6,3E:2D:01:21:0E:9A,2022-11-01 22:24:34,11:55:23,8498398.16,3147171.83
peskyBobolink4,63:56:16:53:83:63,2022-11-01 23:47:58,10:09:31,5950766.27,6853782.8
grudgingHare3,44:4C:0B:3F:63:B7,2022-12-21 11:35:53,3:49:47,1139636.47,8633452.65
boredSalami7,07:7A:4E:57:C5:35,2022-11-06 06:33:39,1:11:40,139961.97,9235298.34
drearyCrane7,41:00:39:1E:C0:34,2022-11-09 17:36:58,5:12:26,36110.62,171545.57
mildGranola8,4F:7D:74:4B:1A:B1,2022-11-13 14:20:33,17:23:53,4131869.4,2402181.22
goofyBass1,51:5C:5C:51:31:47,2022-12-16 00:15:38,6:09:08,4677573.33,6345612.86
offendedPonie5,77:17:2C:66:1F:C5,2022-11-12 05:30:24,15:51:42,7728984.58,8500456.46
shamefulThrush8,79:54:22:0E:44:4B,2022-11-06 03:10:34,6:45:21,9546282.29,9239345.35
peskyBittern3,4A:26:53:33:71:2A,2022-12-04 06:03:04,3:58:02,9056971.71,6064954.8
wingedFlamingo2,4D:0B:2A:0A:04:8C,2022-11-29 19:15:56,5:22:16,4429312.76,815378.4
spiritedWildfowl6,1E:2D:1B:61:F2:C5,2022-12-14 21:56:31,8:38:28,2625921.44,5105842.79
ardentDinosaur9,53:32:64:22:B0:59,2022-11-05 02:17:24,19:14:47,7742121.49,1331796.11
sincereTruffle7,38:29:7E:27:97:62,2022-12-16 14:56:52,10:39:26,9840361.51,6954533.41
dejectedOcelot9,7A:34:7C:2D:13:A9,2022-11-13 21:58:55,14:49:24,5613616.13,2350882.39
amusedChamois9,3E:25:3F:40:61:82,2022-12-11 10:03:40,22:10:51,9743764.95,2584828.38
curiousDingo2,63:4D:13:6D:72:97,2022-12-06 18:53:06,15:11:05,848801.42,2501197.52
cynicalDove2,39:10:17:74:1C:47,2022-11-03 15:53:15,20:34:52,5038807.79,9587275.31
ecstaticFerret1,38:4C:4F:06:9C:C1,2022-11-18 21:37:46,10:18:43,2431614.47,2666563.89
grizzledDunbird0,13:44:48:71:00:8B,2022-12-12 12:15:14,7:04:53,7747074.85,7356166.72
similarMandrill8,23:07:37:02:37:30,2022-11-04 04:40:32,16:06:07,5792804.12,9644262.43
crushedCaribou7,60:61:5A:50:18:CB,2022-11-08 11:11:54,6:29:45,2447595.34,9232707.1
gloomySnipe7,2C:11:24:4A:E4:5A,2022-11-18 07:05:16,11:25:22,5540414.65,2573560.93
gleefulCaribou2,34:5A:17:3E:AC:C7,2022-11-04 09:48:25,4:11:36,8639206.81,320101.37
boastfulIcecream1,4B:1F:66:7C:BD:60,2022-12-08 17:20:03,12:42:29,2786619.85,1387824.94
similarEland0,44:74:15:1A:C1:71,2022-12-06 20:26:53,19:19:03,3915752.98,1522407.25
kindBasmati7,7D:05:79:5D:00:BC,2022-11-05 19:37:15,7:48:47,8878295.32,9485668.79
enviousLapwing8,36:00:30:0E:DD:6A,2022-11-26 17:44:59,1:43:36,9799781.97,8361829.95
curiousLizard8,0C:01:61:05:A5:E9,2022-12-14 10:28:53,19:26:11,3295385.48,6275294.8
anxiousGranola6,31:2C:49:1C:C3:92,2022-11-03 17:48:34,3:30:59,486787.48,9923170.99
grizzledZebra7,65:29:45:25:32:38,2022-11-19 22:31:48,6:50:35,5756717.68,3867875.97
cheerfulSalt1,31:0B:75:5E:CB:A2,2022-12-16 02:30:26,22:16:09,4633306.55,8679824.47
enragedCod7,7E:13:75:1F:F7:C4,2022-11-27 17:38:44,5:29:30,4886850.05,3913824.67
cheerfulDove5,48:29:25:4C:0C:4D,2022-11-21 19:38:03,7:24:50,9339644.34,5013689.79
jealousSheep6,3E:2B:15:2C:5A:65,2022-12-17 16:08:48,9:47:35,9402688.15,6529988.96
excitedDingo7,2C:07:14:3A:20:25,2022-11-08 07:45:35,23:27:06,7914010.74,3386789.13
sadPorpoise8,02:7D:3B:58:83:3B,2022-11-26 04:35:29,9:41:03,8892854.46,8068816.5
relievedBoars5,26:22:2D:10:59:2A,2022-11-17 03:22:04,13:11:41,2678581.05,4652610.79
sorePudding2,4B:51:50:69:14:53,2022-11-14 21:19:32,20:04:42,6159828.46,7431319.26
sincereAntelope9,05:1A:01:40:99:33,2022-11-26 19:52:24,8:23:39,7432634.88,1901954.24
aboardWildfowl2,09:0E:10:31:FE:BC,2022-12-15 20:59:01,13:23:44,9315223.03,3196488.02
joyfulCoconut6,44:08:3A:79:E5:96,2022-12-18 01:34:57,13:33:59,7412956.29,3167462.15
euphoricRaisins0,6A:5A:60:46:75:72,2022-12-14 12:45:50,14:20:50,390318.86,5569245.39
joyfulBittern1,32:4B:03:14:17:E7,2022-12-14 18:00:04,17:25:29,9964088.97,500318.57
sincereFlamingo0,3E:54:10:6D:67:26,2022-11-30 22:30:17,5:52:53,9299475.18,9595296.15
alertBaboon9,18:1E:28:2A:B8:F7,2022-12-16 23:47:43,0:07:44,6261165.39,8892989.34
annoyedSmelt3,49:3F:61:21:27:BD,2022-11-14 06:11:29,6:51:35,3275199.97,1826684.52
worldlyWasp5,6C:1A:6B:3D:E3:B8,2022-12-01 04:24:15,6:02:28,2458077.09,5225070.09
boastfulKitten8,75:73:43:33:5F:94,2022-11-06 02:48:01,20:10:54,792405.03,39018.56
troubledRaisins5,6D:30:01:1D:15:C8,2022-11-03 18:12:04,0:11:10,5843647.66,438779.92
excitedRelish8,79:77:18:21:07:83,2022-11-17 17:07:10,6:45:35,3879537.26,4710307.08
grudgingTortoise0,0D:4A:3B:41:EB:68,2022-12-04 22:00:35,1:36:37,2133298.69,7804602.82
vengefulPie3,08:5C:75:52:57:D3,2022-12-06 10:36:01,0:48:30,7346890.5,3600017.61
brainyTacos6,47:55:13:50:A8:3F,2022-11-28 18:41:36,3:49:57,9190127.95,7810454.73
affectedGranola8,77:6B:5E:2B:04:6A,2022-11-08 08:58:40,9:26:33,5192809.73,9112226.16
trustingToucan8,06:19:3E:6E:20:59,2022-11-13 00:51:23,23:10:56,6878138.23,9959530.15
lazyFlamingo9,21:1E:2B:6E:F4:49,2022-12-14 20:40:39,16:38:12,9260663.72,5240739.58
holisticLion1,04:7A:2B:07:D9:BA,2022-12-17 04:41:44,3:32:46,5304387.07,9892507.85
euphoricPiglet9,15:1D:6E:4D:7E:7A,2022-11-17 13:11:25,21:31:02,2705489.12,2430489.83
bubblySeagull3,7C:02:64:60:29:B0,2022-11-11 19:54:54,2:39:12,5851857.69,1212712.83
ardentKitten0,49:6C:3C:3F:82:8F,2022-11-09 14:07:21,3:27:43,9226860.17,4100201.93
culturedWildfowl9,60:54:13:3B:F4:E9,2022-11-06 03:01:56,17:17:39,9846363.28,185987.36
grizzledPretzels1,29:44:15:6E:38:F3,2022-11-13 11:41:06,5:06:57,7356749.83,710156.88
enviousTruffle8,54:75:08:03:09:8D,2022-11-17 20:47:07,5:45:14,4152357.16,6400210.73
excitedWhiting3,34:44:17:04:8B:F0,2022-12-16 13:42:36,3:30:53,3570559.55,2867688.78
anxiousJerky9,5C:53:06:2D:E3:84,2022-11-02 21:34:14,16:02:16,4235873.31,2675826.47
debonairCordial2,31:21:45:49:12:F3,2022-12-03 00:28:33,6:57:31,364673.08,4453189.72
alertChile3,0C:1A:7F:63:15:74,2022-12-01 11:08:36,11:36:35,2061141.75,5964150.97
mercifulHeron8,60:34:2B:64:49:4B,2022-12-01 21:28:56,13:21:24,388796.88,5858614.84
sugaryDotterel9,71:73:45:12:B2:B1,2022-11-27 13:12:40,11:21:26,8681669.93,9248333.43
excludedOryx4,7B:58:03:2E:A3:A1,2022-11-29 01:54:01,12:44:06,8451347.32,8766377.82
sugaryBoars6,76:7D:6E:5C:32:45,2022-11-09 02:26:16,23:26:38,4938774.15,7368535.93
solidFlamingo2,60:5B:69:57:90:94,2022-12-15 04:47:17,5:33:46,8928289.04,2364627.06
jealousCrane0,52:50:56:1B:68:08,2022-12-23 18:16:33,22:14:42,8903871.37,9926400.84
boredPretzels9,47:7A:7F:7E:8E:FE,2022-11-07 10:36:20,8:42:17,2627215.79,1263520.39
decimalFlamingo7,70:5B:1B:0D:01:B9,2022-11-03 01:23:18,3:39:46,6597977.32,9121940.7
insecureRelish5,3B:73:24:4C:00:89,2022-11-04 06:18:12,2:05:58,6858548.35,7844520.37
dopeyChowder7,75:6B:0D:75:51:60,2022-12-13 02:41:09,20:53:08,6376137.48,6318468.72
cautiousIcecream4,5B:50:29:32:41:26,2022-11-07 21:03:06,3:11:14,1389579.94,2278544.05
grizzledSalt4,0E:13:30:00:AE:FF,2022-11-06 12:55:57,8:39:06,2883283.92,7558523.95
empathicPretzels4,0C:37:50:40:67:BD,2022-12-08 11:20:08,3:41:20,6878121.42,247211.16
needfulPorpoise5,07:44:1A:7C:08:BA,2022-11-22 17:13:08,2:11:42,273855.21,1320315.68
spiritedHawk5,18:22:4F:57:49:4C,2022-12-14 16:07:28,9:58:05,8524143.26,2992674.06
spiritedOrange8,0C:08:45:1D:80:F6,2022-12-18 10:22:25,15:45:50,2512146.67,146710.84
pitifulCockatoo8,39:61:71:37:4C:3C,2022-12-07 15:05:29,2:41:25,5668929.84,3617176.34
sheepishSeafowl0,04:25:23:35:ED:2A,2022-12-08 08:42:19,11:50:54,6812499.3,3645274.7
goofyCurlew2,05:3F:49:3F:17:17,2022-12-06 18:08:59,23:48:20,441706.18,4486270.32
pluckyFish5,61:23:28:52:84:E2,2022-11-20 04:58:15,4:04:42,3155253.65,2096966.6
grizzledMackerel3,7A:5E:41:4B:67:C8,2022-12-12 21:06:28,16:54:23,6283428.06,8901958.73
guiltyPiglet5,04:79:4A:13:52:B1,2022-11-13 23:34:15,20:47:39,5418854.87,2250512.03
stressedCheese8,30:3D:28:61:3F:C3,2022-12-22 16:51:55,18:29:16,6426663.91,6428180.55
joyfulZebra5,5E:6C:1A:05:8F:8C,2022-12-01 07:51:05,23:57:58,4693674.24,6545730.08
forsakenPiglet9,39:37:25:2F:27:1A,2022-12-10 06:10:55,12:29:59,4670871.54,4286307.96
cockyLemur2,7B:7E:21:7A:B0:49,2022-11-23 23:31:36,20:39:56,9045193.95,6472844.05
empathicLapwing1,35:7C:0D:4F:F5:AC,2022-12-17 10:56:59,4:13:44,6943173.65,9838562.84
enragedBittern9,55:3E:7E:2A:03:89,2022-11-08 08:04:17,1:03:30,5809427.21,2047611.09
cruelTruffle1,63:6C:0C:3A:55:62,2022-12-10 15:43:42,6:02:32,7705381.31,5956854.4
enviousHeron1,08:0D:2B:00:DC:85,2022-11-03 18:17:36,9:17:10,8369001.42,9777757.99
affectedCurlew5,36:52:12:6D:CC:D1,2022-12-01 02:10:25,14:32:43,5558014.38,911660.94
wearyOil6,3A:2C:1F:25:B2:22,2022-11-16 02:33:49,0:14:11,9501379.56,340346.42
giddyLizard5,63:45:1D:5C:E0:99,2022-11-27 14:56:53,22:24:12,9241183.78,2344591.7
yearningRaisins5,3E:69:3C:0F:16:1E,2022-11-08 10:30:59,1:24:46,7144306.55,3880229.78
adoringCrane9,51:16:13:45:C7:B6,2022-11-06 18:31:47,2:50:57,1789170.73,7561604.23
chicOwl9,62:54:22:71:51:20,2022-12-03 07:27:28,12:39:27,1265824.78,246105.61
excludedCoati7,57:7F:7F:01:30:2B,2022-12-15 01:41:17,3:01:07,6133045.8,8262814.9
anxiousCaribou8,47:73:7C:11:EB:1E,2022-12-04 07:04:41,20:11:45,6785232.29,6172492.64
adoringCrane9,2A:6C:47:53:92:EF,2022-11-28 14:05:09,1:47:38,6859364.38,4705011.33
needfulBuck9,40:1C:53:2D:69:EE,2022-11-13 19:12:37,12:11:41,6119483.07,649907.23
debonairSardines9,3C:56:10:62:48:F6,2022-12-02 05:33:29,1:41:56,9633676.45,924366.42
ashamedCurlew8,69:66:07:72:38:35,2022-11-17 13:52:22,11:15:54,3306283.39,5790606.78
lovesickLocust1,03:21:53:5D:53:15,2022-12-05 08:51:23,14:15:14,9405057.38,1229751.52
guiltyDingo4,47:64:2D:4C:DC:31,2022-12-09 19:26:48,17:33:23,1591009.99,7404220.77
ferventTacos5,58:1F:75:50:CE:08,2022-11-12 06:36:41,1:52:09,9849893.35,1675929.57
grudgingHare3,2D:50:79:4F:66:FA,2022-11-24 22:00:47,22:24:43,1882711.63,9222191.02
wakefulGnu2,6D:78:3D:7C:81:FC,2022-11-30 23:04:51,4:46:46,8848016.83,6584481.97
ardentOrange8,2B:6D:6A:0F:48:F3,2022-11-02 15:30:12,12:20:23,3748739.38,9226508.86
emptyBasmati5,03:24:48:52:70:09,2022-12-06 01:54:24,4:07:24,8331439.21,5099894.13
sugaryThrush1,59:42:0B:10:00:35,2022-11-25 17:43:30,13:31:42,7158147.66,3496727.54
anxiousJerky9,30:2A:6B:16:2E:2E,2022-11-25 02:47:02,21:30:03,7678593.78,4135643.91
enragedCurlew9,40:11:71:36:D2:47,2022-11-04 22:13:48,17:31:32,329595.94,3774211.63
similarLlama8,2C:0F:47:06:C4:44,2022-12-17 02:42:19,5:27:35,1385510.64,6756374.13
mildTuna6,2B:6E:74:4F:7B:AE,2022-12-07 02:15:05,23:45:25,5216141.18,8063309.97
boastfulIcecream1,3F:71:13:5A:92:06,2022-12-18 23:28:42,18:35:46,790666.47,478880.81
exactingBaboon4,7C:2A:7B:60:D5:40,2022-12-19 04:07:55,6:16:35,7973331.37,132897.94
outlyingThrush5,13:1A:65:0C:DE:6F,2022-12-15 16:27:39,19:40:05,175186.69,2471681.23
ferventTacos5,78:6E:58:5A:8F:1B,2022-12-19 18:22:03,21:32:17,7790244.89,2901584.39
ashamedMandrill7,1C:1F:7E:14:D6:B3,2022-12-01 13:19:02,15:50:30,5014413.98,8025211.63
blissfulEland2,13:0A:16:07:B6:5B,2022-11-05 18:15:51,13:18:37,8620737.02,3816849.71
mereSeahorse2,7A:20:50:41:F1:AB,2022-12-17 02:21:21,5:56:14,9039060.99,7195816.33
humorousSausage3,7B:14:62:32:5D:4C,2022-11-27 17:39:55,13:20:48,8832130.88,625106.73
alertLion9,31:3B:74:40:51:BE,2022-11-03 10:56:40,6:00:49,2129221.53,9901867.63
artisticIguana7,55:3D:0C:41:57:C0,2022-12-10 20:50:07,7:14:44,5230317.67,2584967.21
blissfulOcelot7,34:0F:4C:52:53:3E,2022-12-11 04:53:53,10:51:52,7253367.37,7868765.17
amusedWigeon1,02:5D:37:08:5D:0D,2022-12-18 18:52:58,6:10:03,7608666.74,1617169.65
enviousHeron1,08:0D:2B:00:DC:85,2022-11-26 23:11:18,0:17:22,6054665.96,9566484.36
panickyMackerel8,30:17:34:52:AA:B0,2022-11-13 16:38:08,12:11:12,3823539.93,9024436.05
solidPie9,19:52:6B:62:AB:79,2022-11-22 11:36:05,17:49:10,3314017.94,4120115.38
alertHawk0,41:2F:05:0B:AE:9E,2022-11-02 02:09:21,3:06:52,5455995.14,142555.87
cynicalCow8,40:72:01:73:63:6A,2022-12-03 10:04:51,8:34:33,671677.19,5317492.53
truthfulLocust7,18:08:76:4E:E8:70,2022-11-29 04:31:03,0:53:22,9740042.56,1280919.84
adoringBaboon0,27:4B:0B:0F:31:17,2022-12-09 03:14:32,13:55:22,7019231.4,5991014.9
pacifiedGarlic7,2B:32:00:12:7B:32,2022-11-30 10:37:12,13:44:41,1935487.76,6584095.68
pitifulShads0,3B:6C:60:69:54:9D,2022-12-07 17:24:20,16:31:23,6332229.48,8858248.74
wingedPolenta1,06:44:34:02:53:B0,2022-11-11 03:00:11,2:34:23,8615743.99,1731254.42
thrilledLizard1,10:7F:0D:2A:0C:2E,2022-11-08 04:36:33,5:25:28,6151486.77,4005495.02
similarLlama8,2C:0F:47:06:C4:44,2022-11-29 04:32:11,22:54:33,4184568.11,313987.3
scornfulClam1,75:40:62:70:87:DE,2022-12-08 10:41:22,4:32:51,3446395.01,2055652.11
brainySmelt8,75:15:22:55:D3:9C,2022-12-10 08:39:39,5:51:58,5268743.64,3056419.62
stressedUnicorn1,20:25:6B:4C:8C:5E,2022-12-15 11:40:23,19:15:20,6523734.89,6222698.25
guiltyDingo4,40:17:3F:01:46:3D,2022-12-03 21:12:56,21:53:36,4223809.09,3481909.17
pitifulMare5,39:0C:73:44:5C:A7,2022-12-12 19:33:57,20:21:44,4481805.18,4810376.36
wornoutWildfowl0,0F:78:72:20:6D:A5,2022-12-09 12:43:16,7:19:10,7499972.88,260022.29
morbidLemur8,43:09:13:4C:24:AC,2022-12-17 09:20:02,6:24:20,3565084.82,5764591.52
resolvedLard8,21:71:4C:5F:3F:43,2022-11-29 22:24:19,22:42:13,3394972.2,7759741.14
goofyFish0,32:6B:06:4E:B1:C3,2022-11-05 14:16:25,19:33:49,3955943.78,7479649.12
murkyKitten1,7E:2C:01:3D:A0:3C,2022-12-03 01:27:45,17:10:35,8232776.57,8056878.46
blissfulRelish2,36:5C:5A:0E:39:14,2022-12-23 12:32:10,11:59:22,4151730.92,3658213.69
peskyCheetah3,12:75:01:04:E8:08,2022-12-07 16:12:52,7:33:53,742368.77,6666389.43
gleefulMackerel9,1D:2A:68:71:F8:F4,2022-11-25 01:41:05,16:43:39,5582900.08,4187056.47
solidPie9,1E:00:57:15:EA:CB,2022-12-08 00:52:55,6:53:15,8376424.61,5442535.67
cruelTruffle1,63:6C:0C:3A:55:62,2022-11-18 11:59:47,0:15:35,7474463.59,1827828.47
eagerApples7,5D:41:33:0E:38:FE,2022-12-17 03:24:14,15:43:42,1191179.39,523720.12
amazedSeahorse9,35:03:63:72:8B:C5,2022-12-10 06:47:34,20:20:19,4284561.05,6309223.25
pleasedOwl6,5D:05:06:47:DB:CD,2022-11-17 10:25:07,11:23:19,1116326.03,9034732.1
innocentBoa7,33:16:56:25:40:4C,2022-11-25 17:13:44,22:00:17,6265553.46,4303585.34
similarWigeon8,12:29:3B:2B:65:74,2022-12-17 10:24:55,14:37:21,7998184.06,6111837.52
enragedLlama6,38:1F:00:4B:04:DF,2022-11-21 08:01:36,11:08:25,3627712.79,8662477.68
giddyEggs6,0E:1F:12:09:D5:8B,2022-12-16 04:49:37,9:47:06,5163212.97,9063861.45
annoyedCaribou5,0E:5D:3B:65:6E:58,2022-11-12 02:28:28,5:50:47,2870233.31,8329084.24
pluckyTermite1,1E:43:1A:33:92:E3,2022-11-13 04:03:50,1:56:20,3532958.57,6145968.27
soreBobolink8,50:75:46:7D:97:25,2022-12-08 17:09:53,15:26:44,1555921.34,1266836.75
insecureRelish5,00:18:70:07:16:5E,2022-12-07 15:18:59,3:35:19,142001.86,6277376.4
sincereDingo7,2D:2B:1E:44:6C:2D,2022-11-10 14:42:25,8:44:59,4941412.98,5394040.1
superiorCheetah8,49:3D:5A:5C:87:1F,2022-12-11 21:45:53,22:30:04,3307418.81,5885579.21
humorousOil1,65:06:3E:50:3F:40,2022-11-28 12:26:33,14:10:35,3616819.54,6512089.45
ferventCardinal2,27:5B:5B:6A:0A:0C,2022-11-28 17:50:43,9:25:07,808819.26,7036088.56
eagerBoars5,3F:0E:54:2F:82:34,2022-11-19 04:49:49,4:01:53,3577231.52,6622659.92
madEggs6,06:3E:3E:26:76:E8,2022-11-18 11:17:45,17:10:44,3439464.8,4464835.88
murkyMandrill8,26:37:50:48:54:71,2022-11-17 13:49:38,2:07:09,445927.64,1335899.81
boastfulKitten8,52:6A:61:23:FB:13,2022-11-02 02:50:54,18:09:11,9710393.36,7352131.13
sincereMeerkat0,5E:22:78:16:9B:A1,2022-12-19 19:06:15,9:23:43,6827765.34,5653189.78
outlyingDingo6,20:52:3D:30:67:42,2022-11-13 19:27:35,3:55:10,5013936.84,7360327.13
hushedSalt1,6E:15:09:45:EA:E2,2022-11-23 22:13:04,3:26:13,9498727.68,1396076.95
mildBuck7,2A:57:0E:78:38:B6,2022-12-04 22:32:43,6:36:35,1424741.07,100558.72
